"Молоко 2,5% ультрапастеризованное 950 мл Лента БЗМЖ","Цена со скидкой за 1 шт.72,99 ₽","66,35 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Молоко 6% ультрапастеризованное 950 мл Домик в Деревне БЗМЖ,"Цена со скидкой за 1 шт.149,99 ₽","136,35 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сливки-крем Петмол для взбивания ультрапастеризованные 33%...,"Цена со скидкой за 1 шт.419,99 ₽","381,81 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сметана 15% Домик в Деревне БЗМЖ 300 г,"Цена со скидкой за 1 шт.69,99 ₽","63,63 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сливки Домик в Деревне питьевые стерилизованные 20% БЗМЖ...,"Цена со скидкой за 1 шт.89,99 ₽","81,81 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
"Творог мягкий Домик в Деревне 5,5% БЗМЖ 170 г","Цена со скидкой за 1 шт.54,99 ₽","49,99 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сливки Bonvida для взбивания ультрапастеризованные 33% 1 л,"Цена со скидкой за 1 шт.399,99 ₽","363,63 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
"Йогурт питьевой детский Агуша яблоко-груша с 8 месяцев 2,7%...","Цена со скидкой за 1 шт.39,99 ₽","36,35 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сметана 25% Домик в Деревне БЗМЖ 300 г,"Цена со скидкой за 1 шт.99,99 ₽","90,90 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
"Ряженка Домик в Деревне Для тебя Топленое молоко 2,5% БЗМЖ...","Цена со скидкой за 1 шт.37,99 ₽","34,54 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
"Ряженка Домик в Деревне с клубникой 2,1% БЗМЖ 270 мл","Цена со скидкой за 1 шт.37,99 ₽","34,54 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Йогурт питьевой детский Агуша Иммунити Северные ягоды с 8...,"Цена со скидкой за 1 шт.39,99 ₽","36,35 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сливки Домик в Деревне питьевые стерилизованные 10% БЗМЖ...,"Цена со скидкой за 1 шт.169,99 ₽","154,54 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сливки Домик в Деревне питьевые стерилизованные 10% БЗМЖ...,"Цена со скидкой за 1 шт.59,99 ₽","54,54 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
"Йогурт питьевой Агуша клубника-банан с 8 месяцев 2,7% 180 мл","Цена со скидкой за 1 шт.39,99 ₽","36,35 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сливки Домик в Деревне питьевые пастеризованные 10% БЗМЖ...,"Цена со скидкой за 1 шт.74,99 ₽","68,17 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сахар Aro свекловичный белый песок 1 кг,"Цена за 1 шт.62,90 ₽","57,18 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,METRO
Сахар ARO белый песок 5 кг,"Цена за 1 шт.389,00 ₽","353,64 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,METRO
Соль поваренная Илецкая РусСоль высший сорт помол № 1 1 кг,"Цена за 1 шт.14,35 ₽","13,05 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сахар 1 кг,"Цена за 1 шт.82,73 ₽","75,21 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Соль поваренная Илецкая высший сорт пищевая помол №1 1 кг,"Цена за 1 шт.24,34 ₽","22,13 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сахар-песок ПродснабАлтай ТС2 кристаллический 5 кг,"Цена за 1 шт.374,80 ₽","340,73 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сахар ГОСТ 33222-2015 900 г,"Цена за 1 шт.82,73 ₽","75,21 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сахар-рафинад Лента белый 1 кг,"Цена со скидкой за 1 шт.99,99 ₽","90,90 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Соль Илецкая йодированная пищевая 1 кг,"Цена за 1 шт.10,27 ₽","9,34 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сахарница HomeClub Basic с ложкой 350 мл,"Цена за 1 шт.459,48 ₽","382,90 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Соль Усольская Экстра пищевая выварочная с...,"Цена за 1 шт.26,57 ₽","24,15 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Соль морская поваренная Лента пищевая садочная 1 кг,"Цена со скидкой за 1 шт.79,99 ₽","72,72 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Соль Зимняя сказка Экстра 1 кг,"Цена за 1 шт.34,72 ₽","31,56 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Соль поваренная пищевая экстра выварочная 500 г,"Цена за 1 шт.71,29 ₽","64,81 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Печенье Здоровые сладости Баланс калорий песочное на...,"Цена за 1 шт.173,62 ₽","144,68 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Соль Зимушка Краса Йодированная экстра 500 г,"Цена за 1 шт.76,62 ₽","69,65 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Соль морская 4Life йодированная мелкая 500 г,"Цена за 1 шт.71,48 ₽","64,98 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сахар 365 дней белый кусковой 1 кг,"Цена за 1 шт.77,59 ₽","70,54 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Соль морская 4Life мелкая йодированная 500 г,"Цена за 1 шт.163,44 ₽","148,58 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Печенье Умные сладости без сахара с амарантовой мукой 210 г,"Цена за 1 шт.234,92 ₽","195,77 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Соль Вкусная соль с чесноком и зеленью 400 г,"Цена за 1 шт.104,17 ₽","94,70 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сахар Лента Тростниковый 900 г,"Цена со скидкой за 1 шт.189,99 ₽","172,72 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Печенье Баланс долголетия песочное со стевией и маком 220 г,"Цена за 1 шт.159,36 ₽","132,80 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Соль морская йодированная Setra мелкая 500 г,"Цена за 1 шт.74,68 ₽","67,89 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Батончик Snaq Fabriq кокосово-миндальный десерт в белом...,"Цена за 1 шт.81,76 ₽","68,13 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Соль морская Mareman помол №1 средний 1 кг,"Цена за 1 шт.80,79 ₽","73,45 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
Сахар Bonvida белый порционный 5 г х 100 шт,"Цена со скидкой за 1 шт.129,99 ₽","118,17 ₽ без НДС","Доставить в: ул. Максима Горького, 154",22.11.2023,ЛЕНТА
